genename,F1,F2,F3,F4,F5,F6,F7,S1,S2,S3,S4,S5,S6,S7,Space
acsl6,1.755998518,4.287265569,3.973886658,3.548071688,2.360714921,1.881283866,1.57903345,0.729018895,1.81048829,1.60972237,1.351075975,1.454562061,1.141297736,1.467195433,0
cnrip1,5.175798643,8.820854335,8.109074078,7.217588267,4.783565411,5.557274348,3.927843269,16.71088805,8.110308891,8.857742836,8.229176864,6.727660955,8.607081107,10.32785911,0
sdr39u1,1,2.028081466,1.830885653,2.610391965,0.80486513,0.448683626,0.45656678,0.621576488,1.270779977,1.227934734,1.034120952,1.043597732,0.878227612,1.083638857,0
trappc1,0.971279541,0.903362258,1.486762951,1.16676334,0.341989046,1.319875282,0,2.09715079,3.009159774,2.738674141,2.942987716,3.022652071,2.771409437,2.910738827,0
diras2,1.365904575,1.874165122,1.393653666,1.44938999,1.734076582,1.06907707,1.844785897,15.27916275,7.621564669,7.985215018,9.773111624,12.21132898,12.98567323,12.76717461,0
brsk1,0.62105243,2.864422712,1.761757377,1.48404285,0.628735718,0.318570417,1.370405142,2.147626874,1.997974845,3.234606256,3.188383594,1.699300768,1.70194146,2.403275832,0
capza1,5.348573525,1.738701546,4.811167551,1.331772375,4.047881225,3.630286765,3.013211147,2.729908815,3.209845424,3.489887617,3.588019037,3.233325204,3.374417754,3.175194791,0
npm1,2.07114802,7.788349412,5.309010715,5.667967899,5.538406675,3.670240427,1.686579651,1.956730857,1.108009934,1.20253733,1.430039387,1.939233216,1.88155411,1.636433358,0
cyfip2,0.712082622,1.034806677,0.860550375,1.112073972,0.751419449,0.654945226,0.981972631,5.196174534,4.164773298,4.051590045,3.968058138,6.063134414,5.327640868,5.718809657,0
tom1l2,1.365894175,2.770353973,2.974005972,3.122152264,2.197854566,1.580959614,0.95850768,6.775587166,5.618407292,5.536474656,7.577290851,6.616545708,6.605660663,7.048215663,0
flot2,6.130850728,2.409012367,3.543091886,2.536900501,23.78464271,49.21474099,0.684236622,0.186000438,1.254345463,0.10136787,0.01548224,0.540307516,0.119009405,0.788955156,0
arhgap44,0.263552305,0.811874937,0.528220926,0.45840046,0.196118129,0.203756062,0.395747263,0.840318089,0.890046346,1.292329194,1.164646464,0.952629415,0.788110194,1.000057044,0
luc7l3,0.177301676,1.831030934,0.655644224,0.737212975,0.938372349,0.2704796,0.510010555,0.326855736,0.120377058,0.518593105,0.315492712,0.080779849,0.000651606,0.144490353,0
clint1,0.606082985,2.259853068,1.257798591,0.74394298,0.525675024,1.058924562,1.004175222,1.151386836,0.809961777,1.443870178,1.311901326,0.825032927,0.862974374,1.157082063,0
ewsr1,0.86749352,1.888779679,1.081864759,0.549568027,0.864392223,1.249761134,0.237595691,1.170691753,0.69833543,0.989633549,0.687221545,0.890823995,0.697129547,0.774167392,0
rap1gap2,0.260445594,0.720887303,0.634677363,0.35641443,0.366157089,0.408518556,0.835833523,3.120777402,1.841395169,2.015065123,2.510021949,2.260579652,2.371399409,2.691461074,0
acaca,0.421947692,0.870372693,0.72051606,0.473174713,0.876895072,1.321172876,0,1.102062198,1.326075854,1.358230072,1.434837624,1.507813928,1.241587334,1.472417678,0
mprip,0,20.14839003,0.703518004,14.90865287,13.14596836,4.07518924,9.865469998,12.17566727,6.354086974,12.73795232,11.77073177,0,5.791993862,9.855613271,0
myh4,0.129938241,0.819014676,0.220471853,0.070906671,0.136674016,0.99808097,0,0.395686454,1.205360564,2.793553024,0.257885056,0.364116007,0.08819206,0.382092894,0
spag7,0,0.13192643,0.580248952,0.236691489,0.258267179,0.215521149,0,1.564539432,0.760443002,0.785816521,1.050599759,1.137321333,2.010087393,1.586675159,0
cltc,36.52078375,39.85468746,49.85895429,43.03963879,31.25710834,33.35331601,18.81091427,58.97911831,66.27896214,69.98197381,69.44148101,69.1422218,70.1356031,70.22926036,0
specc1,1.167184253,0.92139742,0.822109959,1.598337907,0.843954909,1.478541893,0,1.18607438,0.390441241,0.34825757,0.495991923,0.661927116,0.7970641,0.79248516,0
myo1d,2.01459171,2.151145937,2.24142931,1.697862781,2.210812652,1.206281123,0.631578992,1.046202801,0,1.012281314,1.151639512,0.787744054,0,1.007450249,0
fam169a,0.697683825,0.782621142,0.304126803,0.494172659,0.46140676,0.308737493,0.334511134,0.725022344,0.759254714,0.837469214,0.960761573,0.659302132,0.691444606,0.77022201,0
rpl10a,2.037496777,2.28787157,3.426833911,1.189106374,1.943286369,1.780311826,1.354267326,3.982775497,2.599835611,3.279776399,3.191942009,2.846491314,3.132082347,3.264976659,0
arcn1,1.123503233,1.522439799,0.863935123,0.97938488,0.442903078,0.837122652,0,2.013289685,1.64339533,1.962775665,2.061388149,1.914612223,1.556099396,1.834611265,0
ogdh,8.638306704,10.44947129,11.20959724,10.41485105,8.743383427,7.635930566,3.734036615,5.234597775,10.8457812,9.522146032,8.917785991,8.146001503,6.472928835,5.98664775,0
cttn,0.905209787,1.396510772,0.840029555,0.782606802,0.849477968,0.873983209,1.166327746,1.582431619,1.24385169,1.679395083,1.624039137,1.64498397,1.38595044,1.217977637,0
myl6,0.616860145,3.596772162,2.584929776,1.651549851,1.806058644,1.348194964,0.729458445,2.387907742,2.242400474,3.469055122,3.531231762,2.389621362,2.251637989,2.527787185,0
icam5,4.129487703,1.002157355,2.674190765,1.839165714,2.573154005,1.60832662,0.68766637,1.571429744,1.008949786,0.637665849,0.450291279,1.105950865,1.476059486,1.29258927,0
lama2,1.412778291,1.555069953,1.97667174,1.341888384,1.082718829,1.095995695,0.942339832,0.318138053,0,0.615842553,0.199287635,0,0.338589709,1.149354719,0
ppp5c,0.673702175,1.348372947,1.399548377,0.288124056,0,1.060677907,1.577108385,9.264995916,5.921469946,8.088694079,7.945947714,4.676821055,4.436146984,5.351356739,0
psmb6,0.342403221,0.794118494,0.552148078,0.417245213,0.501116551,0.319223497,0.87022452,1.924631453,2.042034241,1.694591993,2.162452031,1.980014088,1.924892237,1.950519543,0
